Артикул (Part No.),Наименование (RU),Description (EN),Description (ZH),"Цена, CNY без НДС",Группа,Взаимозаменяемый артикул,Источник,Разделы
15036212,SPRING WASHER,PLAIN WASHER,平垫圈,0.08,,,NTE240,090-0140 100-0120
15036215,,WASHER,垫圈,,,,NTE240,030-0025 100-0120
15036216,WASHER---,WASHER,垫圈,1.75,,,NTE240,030-0025
15036224,BOLT---,BOLT,螺钉,3.47,Кабина,,NTE240,090-0050
15036240,,NUT,螺母 六角头螺栓全螺,,,,NTE240,030-0025 090-0050 100-0120 100-0180
15036241,WASHER,WASHER,垫圈,1.75,,,NTE240,030-0025 090-0050 100-0120 100-0180
15036242,WASHER---,WASHER,垫圈,1.75,,,NTE240,030-0025
15036279,BOLT---,BOLT,六角头螺栓,1.75,,,NTE240,030-0025 090-0080 100-0120
15036281,WASHER---,WASHER,垫圈,3.47,,,NTE240,020-0020 090-0050 090-0100 090-0140 090-0180
15036284,,BOLT,螺栓,,,,NTE240,050-0170
15036285,NUT---,NUT,螺母,1.93,,,NTE240,030-0025 090-0140 100-0120
15036288,BOLT---,BOLT,螺栓,1.75,Метизы,,NTE240,050-0020 050-0090 090-0080
15036321,BOLTM12*35,BOLT,螺栓,2.17,,,NTE240,210-0920
15036338,BOLT---,BOLT,螺栓,3.47,,,NTE240,090-0180
15036344,PLAIN-WASHER--,WASHER,垫圈,1.93,,,NTE240,030-0020 210-0350
15036356,,BOLT,螺栓,,,,NTE240,090-0140
15036398,,BOLT,纹,,,,NTE240,030-0025
15036445,,BOLT,螺栓,,,,NTE240,050-0040
15036455,,BOLT,螺栓,,,,NTE240,100-0180
15036470,BOLT---,SCREW,螺钉,3.59,,,NTE240,030-0025
15036516,,SCREW,螺钉,,,,NTE240,030-0020 030-0025 090-0050 090-0100 100-0120 210-0240
15036572,BOLT,BOLT,螺栓,0.5,,,NTE240,100-0120
15036590,SCREW---,SCREW,螺钉,3.86,,,NTE240,050-0020
15036635,,SCREW,螺钉,,,,NTE240,090-0140
15036684,,BOLT,螺栓,,,,NTE240,020-0020 040-0020
15036689,INNER-HEX-BOLT-,SCREW,螺钉,3.86,,,NTE240,100-0120
15036694,,CONNECTOR,接头,,,,NTE240,100-0100
15036726,BOLT---,BOLT,螺栓,5.19,,,NTE240,050-0040
15036870,Large washer,PLAIN WASHER,,0.91,,,NTE240,040-0080
15036880,,BOLT,螺栓,,,,NTE240,090-0140
15036904,BOLT---,BOLT,螺栓,3.47,,,NTE240,090-0050
15036925,,WASHER,垫片,,,,NTE240,040-0000
15037080,BOLT---,BOLT,螺栓,3.47,,,NTE240,090-0140
15037109,BOLT---,BOLT,螺钉,3.47,,,NTE240,030-0190
15037117,BOLT---,SCREW,螺钉,3.47,,,NTE240,030-0025 090-0050
15037124,COTTER PIN,SPLIT PIN,开口销,0.78,,,NTE240,210-1520
15037168,BOLT---,BOLT,螺钉,15.58,,,NTE240,050-0090
15037228,,NUT,六角螺母C 级,,,,NTE240,100-0120
15037265,Болт,BOLT,螺栓,1.87,,,NTE240,020-0020
15037266,BOLT---,SCREW,螺钉,3.47,,,NTE240,020-0040
15037292,,BOLT,螺栓,,,,NTE240,040-0000
15037361,BOLT---,BOLT,螺栓,3.47,,,NTE240,090-0140
15037464,BOLT---,BOLT,螺栓,13.86,Метизы,,NTE240,050-0020
15037491,BOLT---,BOLT,螺栓,20.78,,,NTE240,050-0090
15037496,,SCREW,螺钉,,,,NTE240,100-0120
15037502,PIN---,,销子,27.69,,,NTE240,070-0040
15037510,SCREW---,SCREW,螺钉,21.09,Гидравлическая система,,NTE240,050-0020 050-0250
15037512,NUT-ACORN---,,盖形螺母,24.95,,,NTE240,070-0040
15037575,,BOLT,螺栓,,,,NTE240,080-0010
15037580,,,,,,,NTE240,080-0000
15037587,U-BOLT-,U U CLAMP,型夹子,13.86,,,NTE240,090-0150 090-0160
15037589,,SCREW,螺钉,,,,NTE240,090-0050 100-0120
15037624,,EYEBOLT,吊环,,,,NTE240,090-0010
15037646,BOLT,BOLT,螺栓,98.5,Кузов,,NTE240,040-0000
15037704,BOLT,BOLT,螺钉,20.17,Кабина,,NTE240,090-0050
15037714,,WASHER,垫圈,,,,NTE240,080-0000
15037796,,,,,,,NTE240,080-0000
15037804,,BOLT,螺栓,,,,NTE240,040-0040
15037816,,NUT BOLT,螺钉,,,,NTE240,100-0030
15037818,PINSPRING,,弹簧销,77.53,,,NTE240,070-0040
15037820,,WASHER,平垫片,,,,NTE240,040-0000
15037833,,,螺栓,,,,NTE240,070-0040
15037846,,BOLT,螺栓,,,,NTE240,050-0080
15037861,,WASHER,垫片,,,,NTE240,080-0000
15037863,,WASHER,垫片,,,,NTE240,040-0000
